"schemaname","tablename","indexname","indexdef"
"boombox","box","box_image_url_key","CREATE UNIQUE INDEX box_image_url_key ON boombox.box USING btree (image_url)"
"boombox","box","box_pkey","CREATE UNIQUE INDEX box_pkey ON boombox.box USING btree (box_id)"
"boombox","box","idx_box_user_id","CREATE INDEX idx_box_user_id ON boombox.box USING btree (user_id)"
"boombox","box","uq_box_user_name","CREATE UNIQUE INDEX uq_box_user_name ON boombox.box USING btree (user_id, box_name)"
"boombox","box_item","box_item_pkey","CREATE UNIQUE INDEX box_item_pkey ON boombox.box_item USING btree (box_id, item_id)"
"boombox","box_item","idx_box_item_item_id","CREATE INDEX idx_box_item_item_id ON boombox.box_item USING btree (item_id)"
"boombox","item","item_item_name_key","CREATE UNIQUE INDEX item_item_name_key ON boombox.item USING btree (item_name)"
"boombox","item","item_pkey","CREATE UNIQUE INDEX item_pkey ON boombox.item USING btree (item_id)"
"boombox","oauth_account","idx_oauth_expires_at","CREATE INDEX idx_oauth_expires_at ON boombox.oauth_account USING btree (expires_at)"
"boombox","oauth_account","idx_oauth_provider_login","CREATE INDEX idx_oauth_provider_login ON boombox.oauth_account USING btree (provider, provider_login)"
"boombox","oauth_account","idx_oauth_user_id","CREATE INDEX idx_oauth_user_id ON boombox.oauth_account USING btree (user_id)"
"boombox","oauth_account","oauth_account_pkey","CREATE UNIQUE INDEX oauth_account_pkey ON boombox.oauth_account USING btree (oauth_account_id)"
"boombox","oauth_account","uq_oauth_provider_user","CREATE UNIQUE INDEX uq_oauth_provider_user ON boombox.oauth_account USING btree (provider, provider_user_id)"
"boombox","oauth_account","uq_oauth_user_provider","CREATE UNIQUE INDEX uq_oauth_user_provider ON boombox.oauth_account USING btree (user_id, provider)"
"boombox","users","users_pkey","CREATE UNIQUE INDEX users_pkey ON boombox.users USING btree (user_id)"
"boombox","users","users_username_key","CREATE UNIQUE INDEX users_username_key ON boombox.users USING btree (username)"
